,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId
1,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607899410250:8aad03f9-37c1-4199-a825-34737048a2aa,1607899410250:b50101c4-1af2-4b98-9006-e4ffc076a7f0
2,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607899410250:8aad03f9-37c1-4199-a825-34737048a2aa,1607899410250:b50101c4-1af2-4b98-9006-e4ffc076a7f0
6,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""",Yes,1607899410250:2b702ccf-da5d-40c6-bdc4-af69289ed483,1607899410250:71833d1e-d733-47ab-a5e3-045fc21e4885
20,"size == ""102""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607899410249:f5a041c9-9828-4e62-b9b9-6d4fad2dcc0e,1607899410249:e5756609-f5d8-41b1-a20d-caec6ef2b943
30,"size == ""103""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607899410249:8c0060a5-5120-4e90-b074-d694cf46cd65,1607899410249:fbef0d2e-e627-406d-bb9f-0e1a629c6f7b
238,"size == ""103""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607899410238:43a7a73b-f468-4d32-b39e-3d8442d814e0,1607899410238:573c64f1-8358-4a0b-a27e-4aab342e2ee8
626,"size == ""103""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""",Yes,1607899410222:cb0155ca-9d1d-4ef3-ab0f-7e09351db081,1607899410222:d0a89b92-dffd-4cf2-b4e1-a908d39abe76
1151,"size == ""102""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""",Yes,1607899410202:05602227-c8cb-4ed7-8ba4-5f67a667bed1,1607899410202:f4cf1284-3be5-4272-bdc7-0bc245d49575
1152,"size == ""102""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607899410202:05602227-c8cb-4ed7-8ba4-5f67a667bed1,1607899410202:f4cf1284-3be5-4272-bdc7-0bc245d49575
