,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
1,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:e8d8b602-3cef-4785-ae12-454f6482503d
2,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:e8d8b602-3cef-4785-ae12-454f6482503d
4,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:e8d8b602-3cef-4785-ae12-454f6482503d
5,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:e8d8b602-3cef-4785-ae12-454f6482503d
6,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:e8d8b602-3cef-4785-ae12-454f6482503d
7,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:e8d8b602-3cef-4785-ae12-454f6482503d
10,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:e66ef123-b75d-4cd1-af16-9a54d12afe00
14,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:74891278-900c-499f-99a8-c0701bcefe74
21,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:30f14fb9-5669-485f-913a-49edd89dbf90
22,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:30f14fb9-5669-485f-913a-49edd89dbf90
