,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
1,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
3,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
4,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""","size_p == ""9""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
5,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""class java.lang.Boolean""","pop == ""none""","clear == ""none""","size_p == ""9""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
6,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""9""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
7,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""none""","pop == ""class java.lang.Boolean""","clear == ""none""","size_p == ""9""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
8,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""","size_p == ""9""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
9,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""","size_p == ""9""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
11,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""9""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
22,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""","size_p == ""9""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:a8a41c60-7473-440c-93cf-fd7d1d3faa5e
