,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes,1607899197708:4705af00-2ffa-40e8-8e87-efdc98f77ae4,1607899197708:769cfb23-e354-48a5-9661-3b6253fc2603
2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes,1607899197708:4705af00-2ffa-40e8-8e87-efdc98f77ae4,1607899197708:769cfb23-e354-48a5-9661-3b6253fc2603
8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes,1607899197707:dd94dc7f-1cac-4dfc-904b-51ec826785f6,1607899197707:edc26165-5b19-4ccd-9f31-be4813decf1d
18,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""2""",Yes,1607899197707:9cf6afec-a09b-441f-85eb-c8fc26ecee88,1607899197707:3a364ef1-d447-49ba-8992-64dcff0f56d6
28,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes,1607899197707:8e61c4d8-5554-43b3-b2e6-501ff27f13ea,1607899197707:13ab1bf5-502f-4ac5-88bf-da068aa64280
235,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""3""",Yes,1607899197700:9d262a80-30c0-4df0-8d1e-aa03205705e1,1607899197700:d17e9ce4-5393-4b39-9fbc-c2419b49712a
632,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""",Yes,1607899197688:6632714e-30c1-4b5c-8ee1-3d500d5a542a,1607899197688:adb5cf85-3494-4b13-98b1-b701c18d11b1
1136,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""2""",Yes,1607899197670:b77111f9-d187-4ae5-9352-b2b730550ef6,1607899197670:29ebb718-ec51-4843-b446-edc9e07df0bc
1137,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""",Yes,1607899197670:b77111f9-d187-4ae5-9352-b2b730550ef6,1607899197670:29ebb718-ec51-4843-b446-edc9e07df0bc
