,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""0""",Yes,1607899088090:9b6b3090-04f0-4005-9727-1fd825dffb87,1607899088090:d8d0c53b-8096-4fda-bac7-605954fd4013
2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""1""",Yes,1607899088090:9b6b3090-04f0-4005-9727-1fd825dffb87,1607899088090:d8d0c53b-8096-4fda-bac7-605954fd4013
7,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""1""",Yes,1607899088090:6d34f9ad-a480-4891-bfbd-1761666d7e95,1607899088090:b373227e-976a-49c5-b81d-656453219fd6
23,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""1""",Yes,1607899088090:22fe4ecf-d7bb-4fb9-b662-2d1482658f24,1607899088090:70d5689c-362d-4f2d-8726-9bedaff8070b
35,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""2""",Yes,1607899088090:0577fbb0-a4b4-44c0-8e01-3f3fea5c8dec,1607899088090:c99981b1-371b-4b1b-91b8-50088d00d94c
260,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""3""",Yes,1607899088083:1b2a7a35-32a3-47f2-9585-501f67673a6e,1607899088083:8070955a-b434-4823-95f9-e75af4ce7a95
608,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""3""",Yes,1607899088074:7ec480af-900e-4fba-a026-dd9739e39bc8,1607899088074:60e6062a-42a2-4f68-9933-0feb2ea85d24
1117,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""2""",Yes,1607899088061:e17d9ee1-2060-491e-a1f4-80df54526c75,1607899088061:11b68082-1315-4aca-b5de-7877f683bd5e
1118,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""2""",Yes,1607899088061:e17d9ee1-2060-491e-a1f4-80df54526c75,1607899088061:11b68082-1315-4aca-b5de-7877f683bd5e
